epoch,train_loss,test_acc@1
1,6.9422826613347555,30.06
2,7.198919168452627,30.91
3,7.250584754747214,32.67
4,7.148949962301352,34.74
5,6.914327911494934,38.0
6,6.702159970077043,39.35
7,6.569606078039739,40.79
8,6.3932078302521065,43.18
9,6.199652888111232,45.050000000000004
10,5.994671413578938,48.1
11,5.7845666285642645,49.6
12,5.580846678350389,51.0
13,5.407215408443176,51.82
14,5.2359403138308185,53.349999999999994
15,5.063731719538109,54.98
16,4.908674702201922,56.830000000000005
17,4.746172477289574,56.84
18,4.621484899029289,58.309999999999995
19,4.501121688134892,60.129999999999995
20,4.376632533122584,61.72
21,4.278532224832122,62.06
22,4.193135079649306,63.519999999999996
23,4.107338121256878,63.849999999999994
24,4.025103500208904,64.79
25,3.970502666591369,65.56
26,3.8937860075960455,66.34
27,3.85205199054836,66.74
28,3.805837545198264,66.67999999999999
29,3.7742512619372497,67.35
30,3.7126606985465767,67.60000000000001
31,3.6640768714786804,67.9
32,3.6356595201590625,69.16
33,3.609513759613037,69.19
34,3.5565265896394083,69.35
35,3.554285592639569,70.44
36,3.509422253087624,70.66
37,3.474397258660228,71.02000000000001
38,3.4582534770375672,69.58
39,3.4415326020152297,71.11
40,3.403087195661879,70.86
41,3.3759215418825446,71.86
42,3.3685887769325493,71.21
43,3.356448837162293,71.86
44,3.3349474680792426,71.74000000000001
45,3.3115193942158494,72.63
46,3.2816672865877448,72.85000000000001
47,3.2677397605070135,72.27
48,3.236530815203165,72.61999999999999
49,3.2521083305791483,72.89999999999999
50,3.216475604735699,72.8
51,3.199616975391034,73.19
52,3.1807272655447734,73.37
53,3.170129871859993,73.29
54,3.1558642584024015,73.88
55,3.1406378893508125,74.36
56,3.1355767200902567,74.24
57,3.120701467867979,73.55000000000001
58,3.103704985884047,74.5
59,3.0791103594081917,74.27
60,3.0775019557205674,75.05
61,3.0653764046344563,74.36
62,3.053888837086786,74.83
63,3.041455114010683,75.05
64,3.0360768701612333,74.87
65,3.0190897037073507,74.69
66,3.0012924105850693,75.61
67,2.9920725945344904,75.86
68,2.9872237087525044,75.36
69,2.9579625031382766,75.57000000000001
70,2.956787957358606,74.96000000000001
71,2.9469048042887267,75.32
72,2.944205724086958,75.55
73,2.9284098050029006,75.22
74,2.9143244630282688,76.09
75,2.9145458236183086,75.89
76,2.882154599907472,75.75
77,2.882712219179291,76.42999999999999
78,2.8745381782964334,76.41
79,2.870417413023329,76.16000000000001
80,2.874090669081383,76.96
81,2.8467708764616977,76.42999999999999
82,2.8436554166459547,76.91
83,2.8340971936884616,76.82
84,2.8391481134080396,77.07000000000001
85,2.8135696637261773,76.92
86,2.800652860366192,77.01
87,2.794633140269014,77.24
88,2.8099534880254686,77.79
89,2.789398699691615,77.56
90,2.767409850641624,77.37
91,2.776628720391657,77.64
92,2.7595014867094374,77.62
93,2.761171689967519,77.96
94,2.7499624773399116,77.16
95,2.743826556451542,77.13
96,2.735842930901911,78.21000000000001
97,2.725402158560212,77.42999999999999
98,2.7330759849744974,78.25
99,2.7168499907267463,78.24
100,2.69493510305267,78.11
101,2.692839585628706,78.11
102,2.7068571872317913,78.41
103,2.6826779965272882,78.52
104,2.6779025436676656,77.77
105,2.677115418247341,79.58
106,2.6630134705415704,78.72
107,2.6682406848238918,78.96
108,2.653150919786434,78.53999999999999
109,2.6444168336612663,78.95
110,2.641682320034381,78.9
111,2.653550937003696,78.82000000000001
112,2.6327449095617865,79.56
113,2.631688555491339,79.35
114,2.6272608152369865,78.89
115,2.608016960399667,79.14
116,2.6073701602896464,79.31
117,2.5939507140326747,79.33
118,2.595615296019721,79.13
119,2.591815334005454,79.7
120,2.5820879346316623,79.75999999999999
121,2.580328629188931,80.06
122,2.571563047232087,79.61
123,2.567757205864818,79.78
124,2.572830704069629,80.0
125,2.545007359121264,79.66
126,2.5459361051775744,79.95
127,2.5321757301841816,80.06
128,2.5261012967099847,80.01
129,2.5344123102954983,80.15
130,2.5102586131734945,80.33
131,2.5304310641337917,80.53
132,2.5154327756350803,80.73
133,2.493760976594748,80.25999999999999
134,2.489020482781007,80.77
135,2.479475463788534,80.74
136,2.4760162387926554,80.66
137,2.486804792561482,80.49
138,2.475490053904425,81.19
139,2.474987959124378,81.36
140,2.463679913393001,80.73
141,2.467739827854117,80.4
142,2.4557430252586445,80.67999999999999
143,2.453587006047829,81.0
144,2.4420804780783114,80.91000000000001
145,2.4303116577187764,80.62
146,2.430709959305439,80.83
147,2.408843330501281,80.97999999999999
148,2.4220905648064366,80.60000000000001
149,2.415239749495516,81.43
150,2.402987408883793,80.96
151,2.4024997765255955,80.91000000000001
152,2.408283983309244,81.46
153,2.392312642225285,81.62
154,2.398007923794776,81.77
155,2.3995946510550903,81.54
156,2.3885446209268473,81.37
157,2.3635484705266263,81.96
158,2.3587869639249193,81.87
159,2.360518698839797,81.94
160,2.3648127354297444,81.64
161,2.354308317617043,81.91000000000001
162,2.3432301737598538,81.96
163,2.32627650880322,81.97
164,2.3422180770598735,81.95
165,2.333025418606001,82.13000000000001
166,2.3419261593179606,82.06
167,2.323336367754592,82.35
168,2.3209328036947348,81.88
169,2.3079894916298462,82.33
170,2.306774903818504,82.26
171,2.3104120456066326,82.33
172,2.303353658656484,82.28999999999999
173,2.317325137325169,82.21000000000001
174,2.2946919903312764,82.37
175,2.2982041663730266,82.34
176,2.2852408099420294,82.28
177,2.278015050691428,82.37
178,2.2883043412080744,82.61
179,2.275552169563844,82.27
180,2.291314877185625,82.55
181,2.2700042626292434,82.53
182,2.2785151373479784,82.64
183,2.270001047665311,82.66
184,2.286497472487774,82.45
185,2.2735457616983,82.6
186,2.266090139900286,82.61
187,2.2684640245339307,82.58
188,2.2629756091796245,82.62
189,2.2686562243196153,82.66
190,2.259306856037415,82.6
191,2.2602959588630913,82.54
192,2.250864906409352,82.63000000000001
193,2.26520470737182,82.56
194,2.2580851058370057,82.47
195,2.2589558104878846,82.6
196,2.2468975720946323,82.67
197,2.245031641930649,82.59
198,2.259271715105194,82.54
199,2.2596170238612854,82.62
200,2.2539633328152684,82.65
